vid_id,fps,vid_url,view,participants,file_name
Ea8dVOKS6aM,25,https://www.youtube.com/watch?v=Ea8dVOKS6aM,on,4,#893 - Fat Feet & Spanx - The Daily Talk Show [Ea8dVOKS6aM].mp4
Gt6UIOyyNDI,25,https://www.youtube.com/watch?v=Gt6UIOyyNDI,off,2,#355 - Flagged For Fraud - The Daily Talk Show [Gt6UIOyyNDI].mp4
EXxaTUaalhk,25,https://www.youtube.com/watch?v=EXxaTUaalhk,off,2,#594 - Lippy Trolls - The Daily Talk Show [EXxaTUaalhk].mp4
eGl3w2AbQ1Q,25,https://www.youtube.com/watch?v=eGl3w2AbQ1Q,pan,4,#360 - Tommy's Old Radio Studio In 360° Video - The Daily Talk Show [eGl3w2AbQ1Q].mp4
xtfo4abUyIM,25,https://www.youtube.com/watch?v=xtfo4abUyIM,off,2,#982 - What Should We Do For Episode 1000？ - The Daily Talk Show [xtfo4abUyIM].mp4
g6H5jC8qUPA,25,https://www.youtube.com/watch?v=g6H5jC8qUPA,off,2,#286 - Two Big Babies - The Daily Talk Show [g6H5jC8qUPA].mp4
YUxZ3GxAVL8,25,https://www.youtube.com/watch?v=YUxZ3GxAVL8,off,3,#530 - Lisa Stephenson On Habits & Challenging Your Beliefs - The Daily Talk Show [YUxZ3GxAVL8].mp4
bB_sMnrm18k,25,https://www.youtube.com/watch?v=bB_sMnrm18k,off,2,#508 - Three Control Freaks - The Daily Talk Show [bB_sMnrm18k].mp4
dQl-8KgTS-g,30,https://www.youtube.com/watch?v=dQl-8KgTS-g,off,2,#789 - Glue Gunning & The Mo Guy - The Daily Talk Show [dQl-8KgTS-g].mp4
VAPZgF-GWCM,25,https://www.youtube.com/watch?v=VAPZgF-GWCM,on,4,#837 - Screenplay Sunday - The Daily Talk Show [VAPZgF-GWCM].mp4
xBberWZsprk,25,https://www.youtube.com/watch?v=xBberWZsprk,off,2,#1020 - Wrap Up Party - The Daily Talk Show [xBberWZsprk].mp4
XoOxeRnfIAg,25,https://www.youtube.com/watch?v=XoOxeRnfIAg,off,2,#604 - Festivals & Making Dorodangos - The Daily Talk Show [XoOxeRnfIAg].mp4
OckQHcTeFLA,25,https://www.youtube.com/watch?v=OckQHcTeFLA,on,4,#871 - Producing A Date - The Daily Talk Show [OckQHcTeFLA].mp4
RqW2PL3z6YA,25,https://www.youtube.com/watch?v=RqW2PL3z6YA,mix,5,#706 - Merch Deliveries & Cocktail Menus - The Daily Talk Show [RqW2PL3z6YA].mp4
CSaK4gGnLFo,25,https://www.youtube.com/watch?v=CSaK4gGnLFo,off,2,#510 - Scratchies & Edibles - The Daily Talk Show [CSaK4gGnLFo].mp4
e7yvq7Aj9Ok,25,https://www.youtube.com/watch?v=e7yvq7Aj9Ok,on,3,#717 - Tami Roos - 24 Hour Live Stream - The Daily Talk Show [e7yvq7Aj9Ok].mp4
iUoXtYdXM-g,25,https://www.youtube.com/watch?v=iUoXtYdXM-g,off,3,#586 - Brent Valle On Loving Unconditionally - The Daily Talk Show [iUoXtYdXM-g].mp4
jGYOQCylHLI,25,https://www.youtube.com/watch?v=jGYOQCylHLI,top,4,#1000 - Jules Lund - 1000 Minute Live Stream - The Daily Talk Show [jGYOQCylHLI].mp4
i_LQ6fhXagI,25,https://www.youtube.com/watch?v=i_LQ6fhXagI,off,3,#617 - The Master At The Lights With Richard Janssen - The Daily Talk Show [i_LQ6fhXagI].mp4
jqc2Bw0Gqwk,25,https://www.youtube.com/watch?v=jqc2Bw0Gqwk,on,4,"#668 - Photos, Privacy & Fat Fridays - The Daily Talk Show [jqc2Bw0Gqwk].mp4"
lWrud_lTmxs,25,https://www.youtube.com/watch?v=lWrud_lTmxs,off,2,#1003 - Throwback Thursday - The Daily Talk Show [lWrud_lTmxs].mp4
QysqAotZNso,30,https://www.youtube.com/watch?v=QysqAotZNso,on,4,#877 - Get The Gooch - The Daily Talk Show [QysqAotZNso].mp4
vBdHYwThUng,25,https://www.youtube.com/watch?v=vBdHYwThUng,on,3,#660 - TikTok Dances & Our Hotline - The Daily Talk Show [vBdHYwThUng].mp4
uGS7Xx13Jsw,30,https://www.youtube.com/watch?v=uGS7Xx13Jsw,on,2,#912 - Eating On The Job - The Daily Talk Show [uGS7Xx13Jsw].mp4
epYhaTcGSCs,30,https://www.youtube.com/watch?v=epYhaTcGSCs,on,2,#862 - On The Spot - The Daily Talk Show [epYhaTcGSCs].mp4
RS6J7-ptkaE,25,https://www.youtube.com/watch?v=RS6J7-ptkaE,off,2,#349 - A Little Bit Of Prompting - The Daily Talk Show [RS6J7-ptkaE].mp4
uVGYgWnLiJo,25,https://www.youtube.com/watch?v=uVGYgWnLiJo,on,3,"#651 - See 10, Do 10 - The Daily Talk Show [uVGYgWnLiJo].mp4"
xr-hxX99kJY,25,https://www.youtube.com/watch?v=xr-hxX99kJY,off,3,#284 - Our American Correspondent - The Daily Talk Show [xr-hxX99kJY].mp4
X-p_CCe6d7s,25,https://www.youtube.com/watch?v=X-p_CCe6d7s,off,2,#1018 - Buying In Bulk - The Daily Talk Show [X-p_CCe6d7s].mp4
zpVe281h9F4,30,https://www.youtube.com/watch?v=zpVe281h9F4,on,3,#861 - The Podcast Business - The Daily Talk Show [zpVe281h9F4].mp4
jCYvAaRRM0M,30,https://www.youtube.com/watch?v=jCYvAaRRM0M,on,2,#929 - Optometrists & Internal Undies - The Daily Talk Show [jCYvAaRRM0M].mp4
KQwcv9padLg,25,https://www.youtube.com/watch?v=KQwcv9padLg,off,3,#615 - Paris Humphrey On Producing & Putting In The Work - The Daily Talk Show [KQwcv9padLg].mp4
rsxFCs8AZ1Q,25,https://www.youtube.com/watch?v=rsxFCs8AZ1Q,off,4,#568 - 2020 With Amy & Bree - The Daily Talk Show [rsxFCs8AZ1Q].mp4
tR0kBinNYP0,30,https://www.youtube.com/watch?v=tR0kBinNYP0,on,2,#813 - Essentialism & Gurus - The Daily Talk Show [tR0kBinNYP0].mp4
UQoM_a-bHek,30,https://www.youtube.com/watch?v=UQoM_a-bHek,mix,4,#761 - Cancel Culture - The Daily Talk Show [UQoM_a-bHek].mp4
Cww4iu3ddh8,25,https://www.youtube.com/watch?v=Cww4iu3ddh8,off,2,#261 - Emotionally Honest - The Daily Talk Show [Cww4iu3ddh8].mp4
PbOo-qZkXRY,25,https://www.youtube.com/watch?v=PbOo-qZkXRY,off,2,#352 - Getting Team Tattoos - The Daily Talk Show [PbOo-qZkXRY].mp4
b2l5NP0fpNA,25,https://www.youtube.com/watch?v=b2l5NP0fpNA,off,2,#952 - My Day On A Plate - The Daily Talk Show [b2l5NP0fpNA].mp4
lfy0hJh1Nc4,25,https://www.youtube.com/watch?v=lfy0hJh1Nc4,off,3,#564 - Craig Harper On Happiness & Expectations - The Daily Talk Show [lfy0hJh1Nc4].mp4
t7ijSH5FYV8,25,https://www.youtube.com/watch?v=t7ijSH5FYV8,off,2,"#486 - Uber Eats Drivers, Tips & Toilets - The Daily Talk Show [t7ijSH5FYV8].mp4"
L66UifBc7co,25,https://www.youtube.com/watch?v=L66UifBc7co,off,3,#588 - Okay Rosé With Jordan Michaelides - The Daily Talk Show [L66UifBc7co].mp4
wGs10TrPEY0,30,https://www.youtube.com/watch?v=wGs10TrPEY0,on,2,#930 - Don't Wait Until January 1 - The Daily Talk Show [wGs10TrPEY0].mp4
5dC-txlFXh0,30,https://www.youtube.com/watch?v=5dC-txlFXh0,on,2,#909 - Pre-Workout & Annoying Neighbours - The Daily Talk Show [5dC-txlFXh0].mp4
lcFsIJw3pWw,25,https://www.youtube.com/watch?v=lcFsIJw3pWw,off,3,#622 - Hamish Blake On Parenting & Listening To Your Internal Dialogue - The Daily Talk Show [lcFsIJw3pWw].mp4
-9xDmtvd6Yc,25,https://www.youtube.com/watch?v=-9xDmtvd6Yc,on,4,#864 - The Grill Guy - The Daily Talk Show [-9xDmtvd6Yc].mp4
4ysxr3AW0MI,25,https://www.youtube.com/watch?v=4ysxr3AW0MI,off,2,#998 - Worms In The Office - The Daily Talk Show [4ysxr3AW0MI].mp4
wH3EYYQm-xg,25,https://www.youtube.com/watch?v=wH3EYYQm-xg,off,2,#266 - Thoughts vs Facts - The Daily Talk Show [wH3EYYQm-xg].mp4
9iZ5qFs7CA8,25,https://www.youtube.com/watch?v=9iZ5qFs7CA8,off,2,#295 - Dating Release Forms - The Daily Talk Show [9iZ5qFs7CA8].mp4
ctGELy0I42I,25,https://www.youtube.com/watch?v=ctGELy0I42I,off,2,#484 - Party Planning - The Daily Talk Show [ctGELy0I42I].mp4
mfGg73EoEX0,25,https://www.youtube.com/watch?v=mfGg73EoEX0,off,3,#967 - Authenticity & Integrity With Pete Shepherd - The Daily Talk Show [mfGg73EoEX0].mp4
2Cogg8lITg8,25,https://www.youtube.com/watch?v=2Cogg8lITg8,off,2,#964 - Explaining Some Difficult Decisions - The Daily Talk Show [2Cogg8lITg8].mp4
7WTZYKiUkW0,25,https://www.youtube.com/watch?v=7WTZYKiUkW0,off,3,#281 - Old Mate Naysan - The Daily Talk Show [7WTZYKiUkW0].mp4
c4Kqzj957xI,25,https://www.youtube.com/watch?v=c4Kqzj957xI,mix,4,"#764 - Maddy Connors, Yarli Creative  - The Daily Talk Show [c4Kqzj957xI].mp4"
YcBwEmuiTZg,25,https://www.youtube.com/watch?v=YcBwEmuiTZg,off,2,#464 - Basketball In The 'Burbs - The Daily Talk Show [YcBwEmuiTZg].mp4
jwseJClS0r4,25,https://www.youtube.com/watch?v=jwseJClS0r4,off,3,#383 - Belinda Wall On Amplifying Your Brand - The Daily Talk Show [jwseJClS0r4].mp4
70MoMTTMhAM,25,https://www.youtube.com/watch?v=70MoMTTMhAM,off,3,#429 - Emmylou Loves Her Tribe - The Daily Talk Show [70MoMTTMhAM].mp4
ocDky2flNZY,25,https://www.youtube.com/watch?v=ocDky2flNZY,off,2,#450 - It's My Side Of The Bed - The Daily Talk Show [ocDky2flNZY].mp4
cJ_feN3YIxk,25,https://www.youtube.com/watch?v=cJ_feN3YIxk,off,2,#376 - Free Stickers & Video Messages - The Daily Talk Show [cJ_feN3YIxk].mp4
y-_txhwOQUw,25,https://www.youtube.com/watch?v=y-_txhwOQUw,on,4,#701 - Marathons & Merch - The Daily Talk Show [y-_txhwOQUw].mp4
rCiUjB9mOgc,30,https://www.youtube.com/watch?v=rCiUjB9mOgc,on,2,#918 - Road Trips & Lies - The Daily Talk Show [rCiUjB9mOgc].mp4
x5Z6AB-lJ6A,30,https://www.youtube.com/watch?v=x5Z6AB-lJ6A,mix,4,#757 - Food Hacks - The Daily Talk Show [x5Z6AB-lJ6A].mp4
YH63jBpu4b4,30,https://www.youtube.com/watch?v=YH63jBpu4b4,on,2,#882 - Getting Pulled Up - The Daily Talk Show [YH63jBpu4b4].mp4
